CM-2(2),BASELINE CONFIGURATION | AUTOMATION SUPPORT FOR ACCURACY / CURRENCY,System,2.3,"Deploy software inventory tools throughout the organization covering each of the operating system types in use, including servers, workstations, and laptops. The software inventory system should track the version of the underlying operating system as well as the applications installed on it. The software inventory systems must be tied into the hardware asset inventory so all devices and associated software are tracked from a single location.",Y,"Hardware and software inventory management are closely coupled, and managed centrally."
SC-32,INFORMATION SYSTEM PARTITIONING,System,2.4,Virtual machines and/or air-gapped systems should be used to isolate and run applications that are required for business operations but based on higher risk should not be installed within a networked environment. ,,Y
CM-6,CONFIGURATION SETTINGS,Critical Security Control #3: Secure Configurations for Hardware and Software,,,,
CM-6,CONFIGURATION SETTINGS,System,3.1,Establish standard secure configurations of your operating systems and software applications. Standardized images should represent hardened versions of the underlying operating system and the applications installed on the system. These images should be validated and refreshed on a regular basis to update their security configuration in light of recent vulnerabilities and attack vectors.,Y,
CM-2,BASELINE CONFIGURATION,System,3.2,"Follow strict configuration management, building a secure image that is used to build all new systems that are deployed in the enterprise.  Any existing system that becomes compromised should be re-imaged with the secure build. Regular updates or exceptions to this image should be integrated into the organization’s change management processes.  Images should be created for workstations, servers, and other system types used by the organization.",Y,
CM-2(2),BASELINE CONFIGURATION | AUTOMATION SUPPORT FOR ACCURACY / CURRENCY,System,3.3,"Store the master images on securely configured servers, validated with integrity checking tools capable of continuous inspection, and change management to ensure that only authorized changes to the images are possible. Alternatively, these master images can be stored in offline machines, air-gapped from the production network, with images copied via secure media to move them between the image storage servers and the production network.",Y,File integrity of master images are verified as part of a continuous monitoring program.
SC-2, APPLICATION PARTITIONING,System,3.4,"Perform all remote administration of servers, workstation, network devices, and similar equipment over secure channels. Protocols such as telnet, VNC, RDP, or others that do not actively support strong encryption should only be used if they are performed over a secondary encryption channel, such as SSL, TLS or IPSEC.",Y,
SI-7,"SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY",System,3.5,"Use file integrity checking tools to ensure that critical system files (including sensitive system and application executables, libraries, and configurations) have not been altered. The reporting system should: have the ability to account for routine and expected changes; highlight and alert on unusual or unexpected alterations; show the history of configuration changes over time and identify who made the change (including the original logged-in account in the event of a user ID switch, such as with the su or sudo command). These integrity checks should identify suspicious system alterations such as: owner and permissions changes to files or directories; the use of alternate data streams which could be used to hide malicious activities; and the introduction of extra files into key system areas (which could indicate malicious payloads left by attackers or additional files inappropriately added during batch distribution processes).",Y,File integrity of critical system files are verified as part of a continuous monitoring program.
CM-6(1),CONFIGURATION SETTINGS | AUTOMATED CENTRAL MANAGEMENT / APPLICATION / VERIFICATION,System,3.6,"Implement and test an automated configuration monitoring system that verifies all remotely testable secure configuration elements, and alerts when unauthorized changes occur. This includes detecting new listening ports, new administrative users, changes to group and local policy objects (where applicable), and new services running on a system. Whenever possible use tools compliant with the Security Content Automation Protocol (SCAP) in order to streamline reporting and integration.",Y,
CM-6(2),CONFIGURATION SETTINGS | RESPOND TO UNAUTHORIZED CHANGES,System,3.7,"Deploy system configuration management tools, such as Active Directory Group Policy Objects for Microsoft Windows systems or Puppet for UNIX systems that will automatically enforce and redeploy configuration settings to systems at regularly scheduled intervals. They should be capable of triggering redeployment of configuration settings on a scheduled, manual, or event-driven basis.",Y,
RA-5,VULNERABILITY SCANNING,Critical Security Control #4: Continuous Vulnerability Assessment and Remediation,,,,
RA-5,VULNERABILITY SCANNING,System,4.1,Run automated vulnerability scanning tools against all systems on the network on a weekly or more frequent basis and deliver prioritized lists of the most critical vulnerabilities to each responsible system administrator along with risk scores that compare the effectiveness of system administrators and departments in reducing risk.  Use a SCAP-validated vulnerability scanner that looks for both code-based vulnerabilities (such as those described by Common Vulnerabilities and Exposures entries) and configuration-based vulnerabilities (as enumerated by the Common Configuration Enumeration Project).,Y,"Vulnerability risk scoring is centrally measured and managed, and integrated into action planning."
SI-4(16),INFORMATION SYSTEM MONITORING | CORRELATE MONITORING INFORMATION,System,4.2,"Correlate event logs with information from vulnerability scans to fulfill two goals. First, personnel should verify that the activity of the regular vulnerability scanning tools  is itself logged. Second, personnel should be able to correlate attack detection events with prior vulnerability scanning results to determine whether the given exploit was used against a target known to be vulnerable.",Y,
RA-5(5),VULNERABILITY SCANNING | PRIVILEGED ACCESS,System,4.3,"Perform vulnerability scanning in authenticated mode either with agents running locally on each end system to analyze the security configuration or with remote scanners that are given administrative rights on the system being tested. Use a dedicated account for authenticated vulnerability scans, which should not be used for any other administrative activities and should be tied to specific machines at specific IP addresses.  Ensure that only authorized employees have access to the vulnerability management user interface and that roles are applied to each user.",Y,
RA-5(1),VULNERABILITY SCANNING | UPDATE TOOL CAPABILITY,System,4.4,"Subscribe to vulnerability intelligence services in order to stay aware of emerging exposures, and use the information gained from this subscription to update the organization’s vulnerability scanning activities on at least a monthly basis.  Alternatively, ensure that the vulnerability scanning tools you use are regularly updated with all relevant important security vulnerabilities.",Y,
SI-2,FLAW REMEDIATION,System,4.5,"Deploy automated patch management tools and software update tools for operating system and software/applications on all systems for which such tools are available and safe.  Patches should be applied to all systems, even systems that are properly air gapped.",Y,
AC-2(12),ACCOUNT MANAGEMENT | ACCOUNT MONITORING / ATYPICAL USAGE,System,4.6,Monitor logs associated with any scanning activity and associated administrator accounts to ensure that this activity is limited to the timeframes of legitimate scans.  ,Y,
RA-5(6),VULNERABILITY SCANNING | AUTOMATED TREND ANALYSES,System,4.7,"Compare the results from back-to-back vulnerability scans to verify that vulnerabilities were addressed either by patching, implementing a compensating control, or documenting and accepting a reasonable business risk. Such acceptance of business risks for existing vulnerabilities should be periodically reviewed to determine if newer compensating controls or subsequent patches can address vulnerabilities that were previously accepted, or if conditions have changed, increasing the risk.",Y,
CA-7,CONTINUOUS MONITORING,System,4.8,"Establish a process to risk-rate vulnerabilities based on the exploitability and potential impact of the vulnerability, and segmented by appropriate groups of assets (example, DMZ servers, internal network servers, desktops, laptops).  Apply patches for the riskiest vulnerabilities first.  A phased rollout can be used to minimize the impact to the organization. Establish expected patching timelines based on the risk rating level. ",Y,
AC-6,LEAST PRIVILEGE,Critical Security Control #5: Controlled Use of Administrative Privileges,,,,
AC-6(9),LEAST PRIVILEGE | AUDITING USE OF PRIVILEGED FUNCTIONS,System,5.1,Minimize administrative privileges and only use administrative accounts when they are required.  Implement focused auditing on the use of administrative privileged functions and monitor for anomalous behavior.,Y,
AC-6(7),LEAST PRIVILEGE | REVIEW OF USER PRIVILEGES,System,5.2,"Use automated tools to inventory all administrative accounts and validate that each person with administrative privileges on desktops, laptops, and servers is authorized by a senior executive.",Y,
IA-5(5),AUTHENTICATOR MANAGEMENT | CHANGE AUTHENTICATORS PRIOR TO DELIVERY,System,5.3,"Before deploying any new devices in a networked environment, change all default passwords for applications, operating systems, routers, firewalls, wireless access points, and other systems to have values consistent with administration-level accounts.",Y,
AC-2(4),ACCOUNT MANAGEMENT | AUTOMATED AUDIT ACTIONS,System,5.4,"Configure systems to issue a log entry and alert when an account is added to or removed from a domain administrators’ group, or when a new local administrator account is added on a system.",Y,
AU-2,AUDIT EVENTS,System,5.5,Configure systems to issue a log entry and alert on any unsuccessful login to an administrative account.,Y,
IA-2(1),IDENTIFICATION AND AUTHENTICATION | NETWORK ACCESS TO PRIVILEGED ACCOUNTS,System,5.6,"Use multifactor authentication for all administrative access, including domain administrative access.  Multi-factor authentication can include a variety of techniques, to include the use of smart cards, certificates, One Time Password (OTP) tokens, biometrics, or other similar authentication methods.",Y,
IA-5(1),AUTHENTICATOR MANAGEMENT | PASSWORD-BASED AUTHENTICATION,System,5.7,"Where multi-factor authentication is not supported, user accounts shall be required to use long passwords on the system (longer than 14 characters). ",Y,
IA-5(8),AUTHENTICATOR MANAGEMENT | MULTIPLE INFORMATION SYSTEM ACCOUNTS,System,5.8,"Administrators should be required to access a system using a fully logged and non-administrative account. Then, once logged on to the machine without administrative privileges, the administrator should transition to administrative privileges using tools such as Sudo on Linux/UNIX, RunAs on Windows, and other similar facilities for other types of systems.",Y,
SC-2,APPLICATION PARTITIONING,System,5.9,"Administrators shall use a dedicated machine for all administrative tasks or tasks requiring elevated access. This machine shall be isolated from the organization's primary network and not be allowed Internet access. This machine shall not be used for reading e-mail, composing documents, or surfing the Internet.",,Y
AU-6,"AUDIT REVIEW, ANALYSIS, AND REPORTING","Critical Security Control #6: Maintenance, Monitoring, and Analysis of Audit Logs",,,,
AU-8(2),TIME STAMPS | SECONDARY AUTHORITATIVE TIME SOURCE,System,6.1,Include at least two synchronized time sources from which all servers and network equipment retrieve time information on a regular basis so that timestamps in logs are consistent.,Y,
AU-3,CONTENT OF AUDIT RECORDS,System,6.2,"Validate audit log settings for each hardware device and the software installed on it, ensuring that logs include a date, timestamp, source addresses, destination addresses, and various other useful elements of each packet and/or transaction. Systems should record logs in a standardized format such as syslog entries or those outlined by the Common Event Expression initiative. If systems cannot generate logs in a standardized format, log normalization tools can be deployed to convert logs into such a format.",Y,
AU-4,AUDIT STORAGE CAPACITY,System,6.3,"Ensure that all systems that store logs have adequate storage space for the logs generated on a regular basis, so that log files will not fill up between log rotation intervals.  The logs must be archived and digitally signed on a periodic basis.",Y,
AU-7,AUDIT REDUCTION AND REPORT GENERATION,System,6.4,"Have security personnel and/or system administrators run biweekly reports that identify anomalies in logs. They should then actively review the anomalies, documenting their findings.",Y,
SI-4(4),INFORMATION SYSTEM MONITORING | INBOUND AND OUTBOUND COMMUNICATIONS TRAFFIC,System,6.5,"Configure network boundary devices, including firewalls, network-based IPS, and inbound and outbound proxies, to verbosely log all traffic (both allowed and blocked) arriving at the device.",Y,
SI-4(2),INFORMATION SYSTEM MONITORING | AUTOMATED TOOLS FOR REAL-TIME ANALYSIS,System,6.6,"Deploy a SIEM (Security Information and Event Management) or log analytic tools for log aggregation and consolidation from multiple machines and for log correlation and analysis.  Using the SIEM tool, system administrators and security personnel should devise profiles of common events from given systems so that they can tune detection to focus on unusual activity, avoid false positives, more rapidly identify anomalies, and prevent overwhelming analysts with insignificant alerts. ",Y,
CM-2,BASELINE CONFIGURATIONS,Critical Security Control #7: Email and Web Browser Protections,,,,
,,System,7.1,"Ensure that only fully supported web browsers and email clients are allowed to execute in the organization, ideally only using the latest version of the browsers provided by the vendor in order to take advantage of the latest security functions and fixes.",Y,
,,System,7.2,Uninstall or disable any unnecessary or unauthorized browser or email client plugins or add-on applications. Each plugin shall utilize application / URL whitelisting and only allow the use of the application for pre-approved domains.,Y,
,,System,7.3,Limit the use of unnecessary scripting languages in all web browsers and email clients. This includes the use of languages such as ActiveX and JavaScript on systems where it is unnecessary to support such capabilities.,Y,
,,System,7.4,"Log all URL requests from each of the organization's systems, whether onsite or a mobile device, in order to identify potentially malicious activity and assist incident handlers with identifying potentially compromised systems.",Y,Include mobile devices.
,,System,7.5,"Deploy two separate browser configurations to each system. One configuration should disable the use of all plugins, unnecessary scripting languages, and generally be configured with limited functionality and be used for general web browsing. The other configuration shall allow for more browser functionality but should only be used to access specific websites that require the use of such functionality.",Y,
,,System,7.6,"The organization shall maintain and enforce network based URL filters that limit a system's ability to connect to websites not approved by the organization. The organization shall subscribe to URL categorization services to ensure that they are up-to-date with the most recent website category definitions available. Uncategorized sites shall be blocked by default. This filtering shall be enforced for each of the organization's systems, whether they are physically at an organization's facilities or not.",Y,
,,System,7.7,"To lower the chance of spoofed e-mail messages, implement the Sender Policy Framework (SPF) by deploying SPF records in DNS and enabling receiver-side verification in mail servers.",Y,
,,System,7.8,Scan and block all e-mail attachments entering the organization's e-mail gateway if they contain malicious code or file types that are unnecessary for the organization's business. This scanning should be done before the e-mail is placed in the user's inbox. This includes e-mail content filtering and web content filtering.,Y,
SI-3,MALICIOUS CODE PROTECTION,Critical Security Control #8: Malware Defenses,,,,
,,System,8.1,"Employ automated tools to continuously monitor workstations, servers, and mobile devices with anti-virus, anti-spyware, personal firewalls, and host-based IPS functionality. All malware detection events should be sent to enterprise anti-malware administration tools and event log servers.",Y,
,,System,8.2,"Employ anti-malware software that offers a centralized infrastructure that compiles information on file reputations or have administrators manually push updates to all machines. After applying an update, automated systems should verify that each system has received its signature update.",Y,
,,System,8.3,"Limit use of external devices to those with an approved, documented business need. Monitor for use and attempted use of external devices. Configure laptops, workstations, and servers so that they will not auto-run content from removable media, like USB tokens (i.e., “thumb drives”), USB hard drives, CDs/DVDs, FireWire devices, external serial advanced technology attachment devices, and mounted network shares. Configure systems so that they automatically conduct an anti-malware scan of removable media when inserted.",Y,Actively monitor the use of external devices (in addition to logging).
,,System,8.4,"Enable anti-exploitation features such as Data Execution Prevention (DEP), Address Space Layout Randomization (ASLR), virtualization/containerization, etc. For increased protection, deploy capabilities such as Enhanced Mitigation Experience Toolkit (EMET) that can be configured to apply these protections to a broader set of applications and executables.",Y,
,,System,8.5,Use network-based anti-malware tools to identify executables in all network traffic and use techniques other than signature-based detection to identify and filter out malicious content before it arrives at the endpoint.,,Y
,,System,8.6,Enable domain name system (DNS) query logging to detect hostname lookup for known malicious C2 domains.,Y,
SC-7,BOUNDARY PROTECTION,Critical Security Control #9: Limitation and Control of Network Ports,,,,
,,System,9.1,"Ensure that only ports, protocols, and services with validated business needs are running on each system.",Y,
,,System,9.2,"Apply host-based firewalls or port filtering tools on end systems, with a default-deny rule that drops all traffic except those services and ports that are explicitly allowed.",Y,
,,System,9.3,"Perform automated port scans on a regular basis against all key servers and compared to a known effective baseline.  If a change that is not listed on the organization’s approved baseline is discovered, an alert should be generated and reviewed.",Y,
,,System,9.4,"Verify any server that is visible from the Internet or an untrusted network, and if it is not required for business purposes, move it to an internal VLAN and give it a private address.",Y,
,,System,9.5,"Operate critical services on separate physical or logical host machines, such as DNS, file, mail, web, and database servers.",,Y
,,System,9.6,Place application firewalls in front of any critical servers to verify and validate the traffic going to the server.  Any unauthorized services or traffic should be blocked and an alert generated.,,Y
CP-9,INFORMATION SYSTEM BACKUP,Critical Security Control #10: Data Recovery Capability,,,,
,,System,10.1,"Ensure that each system is automatically backed up on at least a weekly basis, and more often for systems storing sensitive information. To help ensure the ability to rapidly restore a system from backup, the operating system, application software, and data on a machine should each be included in the overall backup procedure. These three components of a system do not have to be included in the same backup file or use the same backup software. There should be multiple backups over time, so that in the event of malware infection, restoration can be from a version that is believed to predate the original infection. All backup policies should be compliant with any regulatory or official requirements.",Y,
,,System,10.2,Test data on backup media on a regular basis by performing a data restoration process to ensure that the backup is properly working.,Y,
,,System,10.3,"Ensure that backups are properly protected via physical security or encryption when they are stored, as well as when they are moved across the network.  This includes remote backups and cloud services.",Y,
,,System,10.4,"Ensure that key systems have at least one backup destination that is not continuously addressable through operating system calls.  This will mitigate the risk of attacks like CryptoLocker which seek to encrypt or damage data on all addressable data shares, including backup destinations.",Y,
CM-6,CONFIGURATION SETTINGS,Critical Security Control #11: Secure Configurations for Network Devices,,,,
,,Network,11.1,"Compare firewall, router, and switch configuration against standard secure configurations defined for each type of network device in use in the organization. The security configuration of such devices should be documented, reviewed, and approved by an organization change control board. Any deviations from the standard configuration or updates to the standard configuration should be documented and approved in a change control system.",Y,
,,Network,11.2,"All new configuration rules beyond a baseline-hardened configuration that allow traffic to flow through network security devices, such as firewalls and network-based IPS, should be documented and recorded in a configuration management system, with a specific business reason for each change, a specific individual’s name responsible for that business need, and an expected duration of the need.",Y,
,,Network,11.3,Use automated tools to verify standard device configurations and detect changes. All alterations to such files should be logged and automatically reported to security personnel.,Y,
,,Network,11.4,Manage network devices using two-factor authentication and encrypted sessions.,Y,
,,Network,11.5,Install the latest stable version of any security-related updates on all network devices.,Y,
,,Network,11.6,"Network engineers shall use a dedicated machine for all administrative tasks or tasks requiring elevated access. This machine shall be isolated from the organization's primary network and not be allowed Internet access. This machine shall not be used for reading e-mail, composing documents, or surfing the Internet.",,Y
,,Network,11.7,"Manage the network infrastructure across network connections that are separated from the business use of that network, relying on separate VLANs or, preferably, on entirely different physical connectivity for management sessions for network devices.",Y,
SC-7,BOUNDARY PROTECTION,Critical Security Control #12: Boundary Defense,,,,
,,Network,12.1,"Deny communications with (or limit data flow to) known malicious IP addresses (black lists), or limit access only to trusted sites (whitelists). Tests can be periodically carried out by sending packets from bogon source IP addresses (non-routable or otherwise unused IP addresses) into the network to verify that they are not transmitted through network perimeters. Lists of bogon addresses are publicly available on the Internet from various sources, and indicate a series of IP addresses that should not be used for legitimate traffic traversing the Internet.",Y,
,,Network,12.2,"On DMZ networks, configure monitoring systems (which may be built in to the IDS sensors or deployed as a separate technology) to record at least packet header information, and preferably full packet header and payloads of the traffic destined for or passing through the network border.  This traffic should be sent to a properly configured Security Information Event Management (SIEM) or log analytics system so that events can be correlated from all devices on the network.",Y,
,,Network,12.3,"Deploy network-based IDS sensors on Internet and extranet DMZ systems and networks that look for unusual attack mechanisms and detect compromise of these systems. These network-based IDS sensors may detect attacks through the use of signatures, network behavior analysis, or other mechanisms to analyze traffic.",Y,
,,Network,12.4,"Network-based IPS devices should be deployed to complement IDS by blocking known bad signatures or the behavior of potential attacks.  As attacks become automated, methods such as IDS typically delay the amount of time it takes for someone to react to an attack.  A properly configured network-based IPS can provide automation to block bad traffic. When evaluating network-based IPS products, include those using techniques other than signature-based detection (such as virtual machine or sandbox-based approaches) for consideration.",Y,
,,Network,12.5,"Design and implement network perimeters so that all outgoing network traffic to the Internet must pass through at least one application layer filtering proxy server. The proxy should support decrypting network traffic, logging individual TCP sessions, blocking specific URLs, domain names, and IP addresses to implement a black list, and applying whitelists of allowed sites that can be accessed through the proxy while blocking all other sites.  Organizations should force outbound traffic to the Internet through an authenticated proxy server on the enterprise perimeter.",Y,
,,Network,12.6,"Require all remote login access (including VPN, dial-up, and other forms of access that allow login to internal systems) to use two-factor authentication.",Y,
,,Network,12.7,"All enterprise devices remotely logging into the internal network should be managed by the enterprise, with remote control of their configuration, installed software, and patch levels. For third-party devices (e.g., subcontractors/vendors), publish minimum security standards for access to the enterprise network and perform a security scan before allowing access.",,Y
,,Network,12.8,"Periodically scan for back-channel connections to the Internet that bypass the DMZ, including unauthorized VPN connections and dual-homed hosts connected to the enterprise network and to other networks via wireless, dial-up modems, or other mechanisms.  ",,Y
,,Network,12.9,Deploy NetFlow collection and analysis to DMZ network flows to detect anomalous activity.,Y,
,,Network,12.10,"To help identify covert channels exfiltrating data through a firewall, configure the built-in firewall session tracking mechanisms included in many commercial firewalls to identify TCP sessions that last an unusually long time for the given organization and firewall device, alerting personnel about the source and destination addresses associated with these long sessions.",,Y
SC-1,SYSTEM AND COMMUNICATIONS PROTECTION POLICY AND PROCEDURES,Critical Security Control #13: Data Protection,,,,
,,Network,13.1,Perform an assessment of data to identify sensitive information that requires the application of encryption and integrity controls,Y,
,,Network,13.2,Deploy approved hard drive encryption software to mobile devices and systems that hold sensitive data.,Y,
,,Network,13.3,"Deploy an automated tool on network perimeters that monitors for sensitive information (e.g., personally identifiable information), keywords, and other document characteristics to discover unauthorized attempts to exfiltrate data across network boundaries and block such transfers while alerting information security personnel. ",,Y
,,Network,13.4,"Conduct periodic scans of server machines using automated tools to determine whether sensitive data (e.g., personally identifiable information, health, credit card, or classified information) is present on the system in clear text. These tools, which search for patterns that indicate the presence of sensitive information, can help identify if a business or technical process is leaving behind or otherwise leaking sensitive information.",,Y
,,Network,13.5,"If there is no business need for supporting such devices, configure systems so that they will not write data to USB tokens or USB hard drives. If such devices are required, enterprise software should be used that can configure systems to allow only specific USB devices (based on serial number or other unique property) to be accessed, and that can automatically encrypt all data placed on such devices. An inventory of all authorized devices must be maintained.",,Y
,,Network,13.6,Use network-based DLP solutions to monitor and control the flow of data within the network. Any anomalies that exceed the normal traffic patterns should be noted and appropriate action taken to address them.,,Y
,,Network,13.7,"Monitor all traffic leaving the organization and detect any unauthorized use of encryption. Attackers often use an encrypted channel to bypass network security devices. Therefore it is essential that organizations be able to detect rogue connections, terminate the connection, and remediate the infected system.",,Y
,,Network,13.8,Block access to known file transfer and e-mail exfiltration websites.,,Y
,,Network,13.9,"Use host-based data loss prevention (DLP) to enforce ACLs even when data is copied off a server.  In most organizations, access to the data is controlled by ACLs that are implemented on the server.  Once the data have been copied to a desktop system, the ACLs are no longer enforced and the users can send the data to whomever they want.",,Y
AC-6,LEAST PRIVILEGE,Critical Security Control #14: Controlled Access Based on the Need to Know,,,,
,,Application,14.1,Segment the network based on the label or classification level of the information stored on the servers. Locate all sensitive information on separated VLANS with firewall filtering to ensure that only authorized individuals are only able to communicate with systems necessary to fulfill their specific responsibilities.,Y,
,,Application,14.2,"All communication of sensitive information over less-trusted networks should be encrypted. Whenever information flows over a network with a lower trust level, the information should be encrypted.",Y,
,,Application,14.3,All network switches will enable Private Virtual Local Area Networks (VLANs) for segmented workstation networks to limit the ability of devices on a network to directly communicate with other devices on the subnet and limit an attackers ability to laterally move to compromise neighboring systems.,Y,
,,Application,14.4,"All information stored on systems shall be protected with file system, network share, claims, application, or database specific access control lists. These controls will enforce the principal that only authorized individuals should have access to the information based on their need to access the information as a part of their responsibilities.",Y,
,,Application,14.5,"Sensitive information stored on systems shall be encrypted at rest and require a secondary authentication mechanism, not integrated into the operating system, in order to access the information.",,Y
,,Application,14.6,Enforce detailed audit logging for access to nonpublic data and special authentication for sensitive data.,Y,
,,Application,14.7,Archived data sets or systems not regularly accessed by the organization shall be removed from the organization's network. These systems shall only be used as stand alone systems (disconnected from the network) by the business unit needing to occasionally use the system or completely virtualized and powered off until needed.,Y,
AC-18,WIRELESS ACCESS,Critical Security Control #15: Wireless Access Control,,,,
,,Network,15.1,"Ensure that each wireless device connected to the network matches an authorized configuration and security profile, with a documented owner of the connection and a defined business need. Organizations should deny access to those wireless devices that do not have such a configuration and profile.",Y,
,,Network,15.2,"Configure network vulnerability scanning tools to detect wireless access points connected to the wired network. Identified devices should be reconciled against a list of authorized wireless access points. Unauthorized (i.e., rogue) access points should be deactivated.",Y,
,,Network,15.3,"Use wireless intrusion detection systems (WIDS) to identify rogue wireless devices and detect attack attempts and successful compromises. In addition to WIDS, all wireless traffic should be monitored by WIDS as traffic passes into the wired network.",,Y
,,Network,15.4,"Where a specific business need for wireless access has been identified, configure wireless access on client machines to allow access only to authorized wireless networks. For devices that do not have an essential wireless business purpose, disable wireless access in the hardware configuration (basic input/output system or extensible firmware interface).",,Y
,,Network,15.5,Ensure that all wireless traffic leverages at least Advanced Encryption Standard (AES) encryption used with at least Wi-Fi Protected Access 2 (WPA2) protection.,Y,
,,Network,15.6,"Ensure that wireless networks use authentication protocols such as Extensible Authentication Protocol-Transport Layer Security (EAP/TLS), which provide credential protection and mutual authentication.",Y,
,,Network,15.7,Disable peer-to-peer wireless network capabilities on wireless clients.,Y,
,,Network,15.8,"Disable wireless peripheral access of devices (such as Bluetooth), unless such access is required for a documented business need.",Y,
,,Network,15.9,Create separate virtual local area networks (VLANs) for BYOD systems or other untrusted devices. Internet access from this VLAN should go through at least the same border as corporate traffic. Enterprise access from this VLAN should be treated as untrusted and filtered and audited accordingly.,Y,
AC-2,ACCOUNT MANAGEMENT,Critical Security Control #16: Account Monitoring and Control,,,,
,,Application,16.1,Review all system accounts and disable any account that cannot be associated with a business process and owner.,Y,
,,Application,16.2,Ensure that all accounts have an expiration date that is monitored and enforced.,Y,
,,Application,16.3,Establish and follow a process for revoking system access by disabling accounts immediately upon termination of an employee or contractor. Disabling instead of deleting accounts allows preservation of audit trails.,Y,
,,Application,16.4,"Regularly monitor the use of all accounts, automatically logging off users after a standard period of inactivity.",Y,
,,Application,16.5,Configure screen locks on systems to limit access to unattended workstations.,Y,
,,Application,16.6,"Monitor account usage to determine dormant accounts, notifying the user or user’s manager. Disable such accounts if not needed, or document and monitor exceptions (e.g., vendor maintenance accounts needed for system recovery or continuity operations). Require that managers match active employees and contractors with each account belonging to their managed staff. Security or system administrators should then disable accounts that are not assigned to valid workforce members.",Y,
,,Application,16.7,Use and configure account lockouts such that after a set number of failed login attempts the account is locked for a standard period of time.,Y,
,,Application,16.8,Monitor attempts to access deactivated accounts through audit logging.,Y,
,,Application,16.9,"Configure access for all accounts through a centralized point of authentication, for example Active Directory or LDAP.  Configure network and security devices for centralized authentication as well.",Y,
,,Application,16.10,Profile each user’s typical account usage by determining normal time-of-day access and access duration. Reports should be generated that indicate users who have logged in during unusual hours or have exceeded their normal login duration. This includes flagging the use of the user’s credentials from a computer other than computers on which the user generally works.,,Y
,,Application,16.11,"Require multi-factor authentication for all user accounts that have access to sensitive data or systems. Multi-factor authentication can be achieved using smart cards, certificates, One Time Password (OTP) tokens, or biometrics.",Y,
,,Application,16.12,"Where multi-factor authentication is not supported, user accounts shall be required to use long passwords on the system (longer than 14 characters).",Y,
,,Application,16.13,Ensure that all account usernames and authentication credentials are transmitted across networks using encrypted channels.,Y,
